100
;62861;30000;1,530
;73346;30006;1,363
;73375;30005;1,363
;67645;30007;1,478
;66751;30007;1,498
;70544;30000;1,417

;42548;30008;2,218
;41842;30012;2,390
;39921;30002;2,504
;40825;30006;2,449
;43217;30003;2,314
;47054;30003;2,125

;67182;30012;1,439
;65759;30014;1,521
;66077;30004;1,513
;70923;30012;1,410
;76180;30012;1,313
;73118;30005;1,367

;38193;30010;2,470
;39714;30014;2,518
;42240;30008;2,367
;45326;30010;2,206
;45718;30005;2,187
;40407;30009;2,475

1000
;61725;30000;15,637
;73160;30012;13,669
;79659;30010;12,553
;76719;30003;13,035
;68502;30003;14,597
;67496;30013;14,816

;38060;30016;9,682
;43115;30011;17,680
;41403;30011;23,759
;38426;30020;26,028
;37575;30020;26,602
;38079;30022;26,257

;72936;30005;13,248
;82129;30013;12,176
;75736;30008;13,203
;69992;30013;14,287
;71290;30013;14,027
;77268;30008;12,943

;38092;30034;10,538
;37634;30022;21,833
;36297;30016;27,448
;37948;30026;26,380
;38304;30025;26,108
;38957;30023;25,678

10000
;70238;30001;136,199
;71114;30014;140,590
;68636;30013;145,694
;68952;30014;145,044
;72331;30010;138,272
;74734;30001;133,780

;34701;30021;10,860
;37185;30033;21,987
;37599;30066;29,249
;36842;30010;35,810
;36978;30025;40,813
;36388;30050;46,737

;64508;30014;148,125
;69466;30012;143,977
;72508;30010;137,910
;69768;30002;143,299
;67628;30011;147,878
;68690;30013;145,577

;35470;30043;9,710
;39184;30012;18,071
;38541;30013;25,005
;39152;30021;29,881
;37728;30056;35,453
;37713;30012;39,881
