Descr;RPS;Elapsed;Latency
net31 tests
ClientPerThread: False
Parallelism: 10000
IsServerGC: True
Grpc.Net.Client
;12911;30008;760,120
;14129;30014;708,144
;15430;30022;647,288
;15499;30004;646,146
;14095;30002;708,794
;14084;30007;708,726
Grpc.Core
;15264;30012;646,960
;15448;30011;645,490
;14063;30013;711,994
;14062;30002;711,408
;14037;30012;712,298
;14686;30000;681,720
Raw HttpMessageInvoker
;16327;30005;605,146
;15293;30005;653,032
;14179;30007;705,305
;14364;30012;696,112
;14945;30005;669,933
;15718;30013;636,261
HttpClient+HTTP/1.1
;27740;30023;312,991
;29532;30014;338,532
;30510;30031;327,896
;32921;30014;303,870
;36347;30024;275,111
;35757;30011;279,204
HttpClient+HTTP/2
;30295;30092;316,848
;31184;30034;320,634
;34634;30003;288,895
;36628;30001;272,864
;32248;30044;309,962
;31273;30031;319,413

net31 tests
ClientPerThread: True
Parallelism: 10000
IsServerGC: True
Grpc.Net.Client
;18226;30008;482,545
;26333;30050;380,146
;24581;30032;406,011
;22133;30147;451,787
;22312;30029;448,745
;24710;30084;405,055
Grpc.Core
;27037;30011;349,033
;24564;30061;406,737
;21299;30044;469,379
;20363;30032;490,055
;25863;30026;387,266
;27286;30013;367,289
Raw HttpMessageInvoker
;15883;30029;566,256
;17790;30291;564,213
;18201;30134;548,966
;21241;30210;470,772
;26019;30197;384,606
;23572;30114;422,412
HttpClient+HTTP/1.1
;18140;30050;460,572
;23003;30063;433,921
;25697;30045;389,292
;25880;30003;386,457
;30110;30052;332,913
;31823;30043;314,142
HttpClient+HTTP/2
;20197;30075;445,009
;24184;30038;413,454
;25809;30017;387,534
;26024;30034;384,177
;29584;30035;338,555
;30613;30043;326,674

net50 tests
ClientPerThread: False
Parallelism: 10000
IsServerGC: True
Grpc.Net.Client
;32738;30012;301,339
;37047;30014;269,970
;37401;30001;267,313
;34512;30009;289,805
;35007;30004;285,536
;35116;30007;284,901
Grpc.Core
;38988;30001;255,099
;38612;30004;258,599
;35294;30000;283,520
;34850;30010;287,059
;36677;30010;272,679
;39496;30005;253,182
Raw HttpMessageInvoker
;42953;30008;231,519
;39122;30014;255,641
;38748;30007;258,041
;41210;30014;242,810
;44570;30006;224,251
;42060;30008;237,641
HttpClient+HTTP/1.1
;28153;30087;319,261
;33087;30041;302,183
;37450;30047;267,002
;36988;30025;270,233
;34013;30040;294,060
;33702;30039;296,662
HttpClient+HTTP/2
;34830;30019;269,888
;36177;30016;276,132
;33411;30072;299,386
;33205;30017;301,088
;33808;30019;295,963
;38163;30071;261,606

net50 tests
ClientPerThread: True
Parallelism: 10000
IsServerGC: True
Grpc.Net.Client
;23187;30041;366,263
;28782;30114;347,384
;32005;30015;312,480
;35402;30074;282,769
;33056;30009;302,168
;28330;30122;352,719
Grpc.Core
;29627;30143;317,401
;32740;30039;305,353
;34295;30117;292,054
;28976;30030;344,882
;28950;30086;345,522
;30775;30020;324,728
Raw HttpMessageInvoker
;23993;30039;363,796
;26772;30016;375,783
;24392;30058;409,147
;24298;30016;410,993
;33535;30083;299,574
;35110;30064;284,864
HttpClient+HTTP/1.1
;21966;30024;404,858
;23995;30063;416,765
;26409;30046;379,162
;29115;30019;343,278
;35468;30046;282,401
;32859;30044;304,252
HttpClient+HTTP/2
;21303;30011;424,996
;27838;30022;359,313
;28401;30034;352,112
;25278;30024;395,205
;30999;30017;323,010
;34372;30017;291,234
